Country,Minimum wage,Anual Nominal (US$),PPP (Int$),Workweek  (hours),Nominal (US$),PPP (Int$),Percent of  GDP per capita,Effective per
Slovenia,€1074.43 (US$1271) per month.,"15,249","19,244",40,7.33,9.25,58.8%,1 January 2022
Solomon Islands,"SI$4 (US$0.55) per hour for all workers except those in the fishing and agricultural sectors, who received SI$3.2 per hour.",933,955,45,0.4,0.41,42.7%,1 May 2008
Somalia,None.,,,48,,,,2013
South Africa,"R 23.19 (US$1.34) per hour for all workers, except for Expanded Public Works Programme workers who have a minimum of R 12.75 (US$0.74).","3,671","10,316",45,1.57,4.41,78.2%,1 March 2022
South Sudan,None.,,,,,,,2011
Spain,"€1166.67 (US$1380) per month in 12 payments, €1,000 (US$1183) per month in 14 payments.","16,558","18,919",40,7.96,9.1,52.1%,1 January 2022
Sri Lanka,"SL Rs. 10,000/- (US$70.75) per month.The minimum wages are set according to National Minimum Wage of Workers Act, No. 3 of 2016",603,"2,414",48,0.24,0.97,19.6%,1 January 2016
Sudan,LS 425 (US$0.95 as of August 2021) per month. See Minimum wage in Sudan.,13,"1,087",40,0.01,0.52,23%,2013
Suriname,None; Sur$20 (US$0.66) per hour for household domestics and shop assistants; the Ministry of Labour recommends all other sectors use this as the de facto minimum wage. .,,,40,,,,2022
Sweden,"None; in Sweden the law provides for the right of workers to form and join independent unions to bargain wages collectively, and it prohibits antiunion discrimination.",,,40,,,,2017
Switzerland,"SFr 20 (US$21.98) per hour in the cantons Jura and Neuchâtel, the rest of the country has no minimum wage. There are a minority of the voluntary General Labour Contracts (GLC, collective labour agreements), reached on a sector-by-sector basis, contain minimum compensation clauses, which provide for compensation ranging from SFr 2,200 to SFr 4,200 (US$2418 to US$4615) per month for unskilled workers and SFr 2,800 to SFr 5,300 (US$3077 to US$5824) per month for skilled employees. On 18 May 2014, Swiss voters rejected a federal initiative (by 76.3%) that would have enforced GLCs for every sector and set the hourly minimum wage at SFr 22 (US$24.18, or PPP-adjusted US$12.55).",,,41.7,,,,2014
Syria,"LS 9,765 to LS 14,760 (US$6–US$10)(adjusted for inflation) per month, plus benefits, including compensation for meals, uniforms, and transportation.",96,"2,850",40,0.4,1.37,54%,2013
Taiwan,"NT$25,250 (US$795) per month; NT$168 (US$5.3) per hour is the minimum wage in Taiwan.","10,896","25,250",40,5.3,12.14,40.2%,1 January 2022
Tajikistan,"SM 250 (US$31) per month, plus certain government subsidies for workers and their families.",265,"1,288",40,0.13,0.62,43.2%,1 September 2013
Tanzania,"Varies by sector from TSh. 40,000/= (US$17) per month, to TSh. 400,000/= (US$174) per month.",209,593,45,0.09,0.25,21.3%,1 July 2013
Thailand,"Ranges from ฿313 to ฿336 (US$10.35–US$11.10) per day and up, depending on the cost of living in various provinces; set by provincial tripartite wage committees that sometimes include only employer representatives.","3,220","8,031",48,1.29,3.22,47.5%,1 January 2020
Timor-Leste,US$115 per month.,"1,380","2,123",44,0.6,0.93,99.2%,22 June 2012
Togo,"F.CFA 35,000 (US$70) per month.",757,"1,796",40,0.36,0.86,120.5%,1 January 2012
Tonga,None,,,40,,,,2013
Trinidad and Tobago,TT$15 (US$355.03) per hour; (US$355) per month,"4,615","5,503",40,2.22,2.65,16.7%,1 January 2015
Tunisia,For the industrial sector: DT 465 (US$166) per month for a 48-hour workweek and DT 401 (US$143) per month for a 40‑hour workweek.,"2,000","6,723",48,0.8,2.69,58%,2020
Turkey,"₺5,500 (US$295) per month.","7,458","42,308",45,3.19,18.08,167.6%,1 July 2022
Turkmenistan,535m (US$156) per month.,"1,834","3,988",40,0.88,1.92,23.6%,1 January 2015
Tuvalu,"None; the minimum annual salary in the public sector was approximately $A 3,000 to $A 4,000 (US$3,120 to US$4,160).",,,,,,,2013
Uganda,"USh. 130,000/= (US$34.58) per month.",426,"1,298",40,0.2,0.62,71.3%,1 July 2017
Ukraine,"₴6,500 (US$239.23) per month, ₴39.12 (US$1.44) per hour, annual wage US$2,870","2,858","13,198",40,1.37,6.35,159.6%,1 December 2021
United Arab Emirates,None.,,,48,,,,2013
United Kingdom,"The minimum wage in the United Kingdom is:  £9.50 stg (US$13.01) per hour for those aged 23+  £9.18 (US$12.58) per hour for those aged 21–22 £6.83 (US$9.36) per hour for those aged 18–20 £4.81 (US$6.59) per hour for under 18, apprentices aged 16 to 18, and those aged 19 or over who are in their first year of apprenticeship","27,068","24,700",40,13.01,11.88,57.9%,1 April 2022
United States,"The federal nationwide minimum wage in the United States is US$7.25 per hour. States may also set a minimum, in which case the higher of the two is controlling; some territories are exempt and have lower rates. As of January 3, 2022[update], effective state minimum wage rates range from US$7.25 to US$15.00 per hour, with an average of about $12.00 across all minimum wage workers as of 2019. Local government minimum wages exist as well, the highest of which reach to $17.13 per hour.","15,080","15,080",40,7.25,7.25,26.2%,3 January 2022
Uruguay,"$U 19,364 (US$482) per month.","5,336","9,918",48,2.14,3.97,45.9%,2022
Uzbekistan,"920,000 soum (US$84) per month.","1,041","8,591",40,0.5,4.13,131.9%,1 June 2022
Vanuatu,"VT 30,000 (US$323) per month, VT 170 per hour.","3,240","3,041",40,1.56,1.46,98.7%,20 August 2012
Venezuela,"The minimum wage in Venezuela is Bs. 400,000 per month, including a food bond the total raises up to Bs. 800,000, which is equivalent to about US$0.86 as 26 November 2020.",10.32,,,,,,1 May 2020
Vietnam,"Varies by region; Region I: VND 4,420,000 per month; Region II: VND 3,920,000 per month; Region III: VND 3,430,000 per month and Region IV: VND 3,070,000 per month.","1,591","4,089",40,0.76,1.97,65%,1 January 2020
Yemen,"None; the minimum civil service wage was YRls 21,000 ($100) per month.",,,48,,,,2013
Zambia,"Varies by sector; ZK 993.6 (US$81) per month for domestic workers. Shop workers' minimum wage is ZK 1,698.6 with transport, lunch and housing allowances inclusive, and wages increasing according to the grades of employees, with the minimum wage of the highest grade in this category being ZK 3,558.9. In the general workers' category, which includes receptionists and guards among others, the minimum wage for category one workers is ZK 1,698.6, while the highest category is at ZK 3,151.61.",596,"3,180",48,0.24,1.27,80.8%,10 September 2018
Zimbabwe,"None, except for agricultural and domestic workers; government regulations for each of the 22 industrial sectors specify minimum wages. The minimum wage for all mine workers is currently pegged at $227 per month.",,,,,,,2012
